date,ht,at,hg,ag,result,h_odds,d_odds,a_odds
2009-09-26,benfica,leixoes,5,0,H,1.25,5.0,11.0
2009-09-26,porto,sporting,1,0,H,1.83,3.25,4.2
2009-09-28,guimaraes,leiria,2,2,D,1.75,3.2,4.75
2009-10-02,academica,maritimo,2,4,A,2.5,3.0,3.0
2009-10-03,naval,rio ave,3,2,H,2.5,3.0,3.0
2009-10-03,sp braga,setubal,2,0,H,1.3,5.0,10.0
2009-10-04,leixoes,leiria,3,2,H,2.0,3.0,3.75
2009-10-04,olhanense,porto,0,3,A,7.0,3.8,1.44
2009-10-04,sporting,belenenses,0,0,D,1.3,4.5,8.5
2009-10-05,nacional,guimaraes,2,0,H,2.25,3.0,3.1
2009-10-05,pacos ferreira,benfica,1,3,A,7.0,3.7,1.44
2009-10-12,belenenses,nacional,0,1,A,2.5,3.0,2.8
2009-10-23,belenenses,olhanense,0,0,D,2.25,3.0,3.5
2009-10-24,rio ave,sp braga,1,1,D,4.75,3.3,1.83
2009-10-24,leiria,naval,2,0,H,2.0,3.2,4.0
2009-10-25,maritimo,pacos ferreira,3,1,H,1.8,3.4,4.75
2009-10-25,porto,academica,3,2,H,1.17,6.5,17.0
2009-10-25,setubal,leixoes,1,0,H,2.75,3.0,2.7
2009-10-26,benfica,nacional,6,1,H,1.25,5.5,12.0
2009-10-27,guimaraes,sporting,1,1,D,4.2,3.3,1.91
2009-10-30,porto,belenenses,1,1,D,1.17,6.75,14.0
2009-10-31,naval,leixoes,1,0,H,2.1,3.25,3.25
2009-10-31,sp braga,benfica,2,0,H,3.25,3.25,2.1
2009-11-01,sporting,maritimo,1,1,D,1.36,4.0,9.0
2009-11-01,olhanense,rio ave,0,1,A,2.35,3.0,3.0
2009-11-01,nacional,setubal,2,1,H,1.5,3.5,7.0
2009-11-01,pacos ferreira,leiria,0,1,A,2.1,3.25,3.25
2009-11-02,academica,guimaraes,2,0,H,2.5,3.0,2.75
2009-11-06,belenenses,pacos ferreira,0,3,A,2.3,3.1,3.3
2009-11-07,guimaraes,sp braga,1,0,H,3.4,3.1,2.25
2009-11-07,setubal,olhanense,0,0,D,2.5,3.0,3.0
2009-11-08,leiria,academica,1,1,D,1.91,3.3,4.2
2009-11-08,leixoes,nacional,2,4,A,2.75,3.0,2.75
2009-11-08,maritimo,porto,1,0,H,4.75,3.5,1.75
2009-11-08,rio ave,sporting,2,2,D,4.0,3.25,2.0
2009-11-09,benfica,naval,1,0,H,1.17,6.5,17.0
2009-11-27,olhanense,guimaraes,0,2,A,2.63,3.0,2.63
2009-11-28,sporting,benfica,0,0,D,2.9,3.2,2.3
2009-11-29,porto,rio ave,2,1,H,1.25,5.0,11.0
2009-11-29,pacos ferreira,leixoes,1,1,D,2.0,3.1,3.75
2009-11-29,belenenses,maritimo,2,2,D,2.8,3.0,2.5
2009-11-29,academica,setubal,3,0,H,1.91,3.2,4.0
2009-11-29,nacional,naval,1,1,D,1.6,3.5,5.5
2009-11-30,sp braga,leiria,2,0,H,1.44,3.8,7.5
2009-12-04,guimaraes,porto,1,4,A,4.5,3.3,1.85
2009-12-05,leixoes,sp braga,1,1,D,4.2,3.3,1.8
2009-12-05,naval,pacos ferreira,1,0,H,2.25,3.0,3.2
2009-12-05,rio ave,belenenses,0,0,D,1.8,3.3,4.2
2009-12-06,benfica,academica,4,0,H,1.2,6.0,11.0
2009-12-06,maritimo,olhanense,5,2,H,1.57,3.6,5.5
2009-12-07,leiria,nacional,1,2,A,2.5,3.0,2.75
2009-12-07,setubal,sporting,0,2,A,5.0,3.5,1.65
2009-12-11,pacos ferreira,nacional,2,1,H,2.75,3.0,2.75
2009-12-12,olhanense,benfica,2,2,D,8.5,4.33,1.4
2009-12-12,sporting,leiria,0,1,A,1.44,4.0,8.0
2009-12-13,academica,leixoes,2,0,H,1.83,3.3,4.75
2009-12-13,maritimo,rio ave,0,1,A,1.75,3.4,5.0
2009-12-13,porto,setubal,2,0,H,1.13,7.5,21.0
2009-12-13,sp braga,naval,0,0,D,1.33,4.5,11.0
2009-12-14,belenenses,guimaraes,0,1,A,3.2,3.0,2.4
2009-12-18,pacos ferreira,sp braga,0,1,A,4.2,3.3,1.91
2009-12-19,naval,sporting,0,1,A,4.5,3.4,1.83
2009-12-19,guimaraes,rio ave,1,0,H,1.83,3.3,4.75
2009-12-20,benfica,porto,1,0,H,2.3,3.2,3.2
2009-12-20,leiria,belenenses,1,0,H,1.95,3.2,4.2
2009-12-20,nacional,academica,4,3,H,1.91,3.3,4.2
2009-12-20,setubal,maritimo,3,2,H,4.5,3.4,1.83
2009-12-21,leixoes,olhanense,2,2,D,2.3,3.1,3.3
2010-01-08,sp braga,nacional,2,0,H,1.7,3.4,5.5
2010-01-09,maritimo,guimaraes,0,1,A,2.25,3.1,3.1
2010-01-09,sporting,leixoes,1,0,H,1.33,4.33,9.0
2010-01-09,rio ave,benfica,0,1,A,5.5,3.5,1.62
2010-01-10,porto,leiria,3,2,H,1.25,5.25,10.0
2010-01-10,olhanense,pacos ferreira,1,1,D,2.38,3.1,2.88
2010-01-10,academica,naval,2,0,H,1.95,3.1,3.75
2010-01-11,belenenses,setubal,0,0,D,2.05,3.1,3.5
2010-01-16,guimaraes,setubal,2,2,D,1.53,3.7,7.0
2010-01-16,olhanense,naval,1,0,H,2.3,3.1,3.2
2010-01-16,porto,pacos ferreira,1,1,D,1.25,5.5,12.0
2010-01-16,sporting,nacional,3,2,H,1.53,3.7,7.0
2010-01-17,academica,sp braga,0,2,A,4.2,3.2,1.95
2010-01-17,belenenses,leixoes,1,3,A,2.3,3.1,3.2
2010-01-17,maritimo,benfica,0,5,A,5.0,3.6,1.7
2010-01-17,rio ave,leiria,0,2,A,2.2,3.1,3.5
2010-01-29,sp braga,sporting,1,0,H,2.4,3.0,3.2
2010-01-30,naval,belenenses,1,0,H,2.25,3.0,3.5
2010-01-30,benfica,guimaraes,3,1,H,1.33,4.75,10.0
2010-01-30,leiria,olhanense,2,0,H,1.91,3.3,4.2
2010-01-30,nacional,porto,0,4,A,4.5,3.4,1.83
2010-01-31,pacos ferreira,academica,2,1,H,2.38,3.0,3.25
2010-01-31,setubal,rio ave,2,2,D,2.5,3.0,3.0
2010-02-01,leixoes,maritimo,1,2,A,2.6,3.0,2.88
2010-02-03,benfica,leiria,3,0,H,1.25,5.25,13.0
2010-02-06,setubal,benfica,1,1,D,10.0,4.75,1.33
2010-02-06,sporting,academica,1,2,A,1.4,4.33,8.0
2010-02-07,porto,naval,3,0,H,1.2,6.0,11.0
2010-02-07,rio ave,leixoes,2,0,H,1.95,3.2,3.75
2010-02-07,maritimo,leiria,1,0,H,2.1,3.1,3.4
2010-02-07,guimaraes,pacos ferreira,1,2,A,1.85,3.2,4.2
2010-02-07,olhanense,nacional,1,0,H,2.63,3.0,2.63
2010-02-08,belenenses,sp braga,1,3,A,5.5,3.5,1.6
2010-02-12,pacos ferreira,sporting,0,0,D,4.0,3.2,2.0
2010-02-13,benfica,belenenses,1,0,H,1.17,6.5,17.0
2010-02-13,leixoes,porto,0,0,D,7.0,4.33,1.44
2010-02-14,academica,olhanense,1,1,D,1.83,3.3,4.75
2010-02-14,leiria,setubal,3,3,D,1.6,3.6,5.0
2010-02-14,nacional,rio ave,1,1,D,2.05,3.25,3.75
2010-02-14,sp braga,maritimo,2,1,H,1.53,3.8,6.5
2010-02-15,naval,guimaraes,0,0,D,3.0,3.0,2.5
2010-02-19,maritimo,nacional,1,1,D,2.2,3.3,3.3
2010-02-20,olhanense,sporting,0,0,D,4.5,3.4,1.83
2010-02-20,guimaraes,leixoes,2,0,H,1.67,3.5,5.5
2010-02-21,porto,sp braga,5,1,H,1.83,3.2,4.33
2010-02-21,rio ave,pacos ferreira,1,2,A,2.3,3.1,3.3
2010-02-21,setubal,naval,0,1,A,2.3,3.1,3.3
2010-02-22,belenenses,academica,1,2,A,3.0,3.0,2.5
2010-02-26,leiria,guimaraes,0,1,A,2.55,3.0,2.9
2010-02-27,leixoes,benfica,0,4,A,9.0,4.5,1.36
2010-02-27,naval,maritimo,2,1,H,3.0,3.0,2.5
2010-02-27,sp braga,olhanense,3,1,H,1.33,4.5,11.0
2010-02-28,academica,rio ave,0,1,A,2.1,3.1,3.75
2010-02-28,pacos ferreira,setubal,5,3,H,1.83,3.4,4.5
2010-02-28,sporting,porto,3,0,H,3.6,3.2,2.1
2010-03-02,nacional,belenenses,1,0,H,1.57,3.6,6.5
2010-03-05,leiria,leixoes,2,1,H,1.75,3.4,4.75
2010-03-06,porto,olhanense,2,2,D,1.2,5.5,13.0
2010-03-06,rio ave,naval,0,0,D,2.05,3.1,3.5
2010-03-06,setubal,sp braga,0,0,D,6.0,3.6,1.6
2010-03-07,belenenses,sporting,0,4,A,5.5,3.5,1.6
2010-03-07,benfica,pacos ferreira,3,1,H,1.25,5.0,11.0
2010-03-07,maritimo,academica,0,0,D,2.05,3.1,3.5
2010-03-08,guimaraes,nacional,2,0,H,1.95,3.1,3.8
2010-03-12,naval,leiria,1,0,H,2.4,3.0,3.2
2010-03-13,academica,porto,1,2,A,5.5,3.5,1.67
2010-03-13,sp braga,rio ave,1,0,H,1.44,4.2,7.5
2010-03-14,olhanense,belenenses,1,3,A,1.91,3.3,4.2
2010-03-14,nacional,benfica,0,1,A,6.5,3.8,1.53
2010-03-14,leixoes,setubal,1,2,A,2.2,3.1,3.5
2010-03-14,sporting,guimaraes,3,1,H,1.57,3.75,6.0
2010-03-15,pacos ferreira,maritimo,1,0,H,2.25,3.1,3.4
2010-03-26,maritimo,sporting,3,2,H,3.75,3.25,2.05
2010-03-27,guimaraes,academica,1,0,H,1.83,3.4,4.5
2010-03-27,benfica,sp braga,1,0,H,1.62,3.6,6.0
2010-03-28,setubal,nacional,2,1,H,2.75,3.0,2.75
2010-03-28,rio ave,olhanense,1,5,A,2.1,3.2,3.6
2010-03-28,leixoes,naval,1,0,H,2.3,3.0,3.4
2010-03-28,belenenses,porto,0,3,A,9.0,4.5,1.36
2010-03-28,leiria,pacos ferreira,2,1,H,2.3,3.1,3.3
2010-04-02,nacional,leixoes,1,0,H,1.73,3.5,5.0
2010-04-02,sp braga,guimaraes,3,2,H,1.65,3.6,5.5
2010-04-02,sporting,rio ave,5,0,H,1.4,4.2,8.5
2010-04-03,pacos ferreira,belenenses,0,0,D,1.62,3.4,5.5
2010-04-03,academica,leiria,0,0,D,2.25,3.0,3.2
2010-04-03,porto,maritimo,4,1,H,1.29,4.5,11.0
2010-04-03,olhanense,setubal,2,2,D,2.0,3.2,3.6
2010-04-05,naval,benfica,2,4,A,7.0,4.2,1.4
2010-04-09,naval,nacional,0,0,D,2.38,3.0,3.25
2010-04-10,rio ave,porto,0,1,A,8.0,4.5,1.4
2010-04-10,leiria,sp braga,1,2,A,3.6,3.2,2.1
2010-04-11,maritimo,belenenses,3,3,D,1.67,3.5,5.5
2010-04-11,guimaraes,olhanense,1,1,D,1.8,3.4,4.75
2010-04-11,leixoes,pacos ferreira,2,0,H,2.5,3.1,2.9
2010-04-12,setubal,academica,1,1,D,2.4,3.2,3.0
2010-04-13,benfica,sporting,2,0,H,1.62,3.75,5.75
2010-04-16,olhanense,maritimo,1,2,A,2.2,3.2,3.4
2010-04-17,pacos ferreira,naval,1,3,A,1.91,3.25,3.75
2010-04-17,sp braga,leixoes,3,1,H,1.25,5.25,11.0
2010-04-18,academica,benfica,2,3,A,9.0,4.5,1.3
2010-04-18,belenenses,rio ave,0,0,D,2.5,3.1,2.7
2010-04-18,porto,guimaraes,3,0,H,1.33,4.5,8.5
2010-04-18,nacional,leiria,2,0,H,2.1,3.2,3.3
2010-04-19,sporting,setubal,2,1,H,1.25,5.0,10.0
2010-04-23,rio ave,maritimo,0,0,D,2.5,3.0,3.0
2010-04-24,benfica,olhanense,5,0,H,1.17,6.5,17.0
2010-04-24,setubal,porto,2,5,A,8.5,4.75,1.36
2010-04-25,leiria,sporting,1,1,D,4.0,3.4,1.91
2010-04-25,leixoes,academica,1,3,A,2.3,3.1,3.3
2010-04-25,nacional,pacos ferreira,1,1,D,2.0,3.4,3.75
2010-04-25,naval,sp braga,0,4,A,5.0,3.5,1.73
2010-04-26,guimaraes,belenenses,2,0,H,1.36,4.5,9.0
2010-05-02,sp braga,pacos ferreira,1,0,H,1.25,5.25,12.0
2010-05-02,rio ave,guimaraes,0,0,D,3.5,3.1,2.2
2010-05-02,porto,benfica,3,1,H,2.45,3.1,2.9
2010-05-02,olhanense,leixoes,1,0,H,1.95,3.2,4.1
2010-05-02,maritimo,setubal,2,0,H,1.91,3.3,4.2
2010-05-02,sporting,naval,0,1,A,1.25,5.25,12.0
2010-05-02,belenenses,leiria,5,2,H,3.0,3.1,2.4
2010-05-02,academica,nacional,3,3,D,2.4,3.1,3.0
2010-05-08,leiria,porto,1,4,A,6.5,4.2,1.5
2010-05-08,leixoes,sporting,1,2,A,5.5,3.5,1.67
2010-05-08,setubal,belenenses,1,2,A,2.2,3.25,3.3
2010-05-09,pacos ferreira,olhanense,2,2,D,2.1,3.2,3.6
2010-05-09,nacional,sp braga,1,1,D,4.0,3.4,1.91
2010-05-09,guimaraes,maritimo,1,2,A,2.05,3.25,3.75
2010-05-09,benfica,rio ave,2,1,H,1.13,8.0,19.0
2010-05-09,naval,academica,0,1,A,2.5,3.0,3.0
2010-08-13,sp braga,portimonense,3,1,H,1.36,4.5,9.0
2010-08-14,maritimo,setubal,0,1,A,1.7,3.5,5.25
2010-08-14,naval,porto,0,1,A,9.0,4.5,1.36
2010-08-14,pacos ferreira,sporting,1,0,H,4.75,3.4,1.8
2010-08-15,rio ave,nacional,0,1,A,2.63,3.0,2.88
2010-08-15,beira mar,leiria,0,0,D,2.5,3.0,3.0
2010-08-15,benfica,academica,1,2,A,1.18,6.5,17.0
2010-08-16,olhanense,guimaraes,0,0,D,3.0,3.0,2.5
2010-08-20,academica,olhanense,1,1,D,1.95,3.3,4.0
2010-08-21,nacional,benfica,2,1,H,6.0,3.5,1.62
2010-08-21,setubal,sp braga,0,0,D,5.25,3.4,1.7
2010-08-22,sporting,maritimo,1,0,H,1.55,3.7,6.5
2010-08-22,porto,beira mar,3,0,H,1.18,6.5,13.0
2010-08-22,portimonense,naval,0,1,A,2.4,3.2,2.9
2010-08-22,leiria,pacos ferreira,0,0,D,2.2,3.1,3.4
2010-08-23,guimaraes,rio ave,0,0,D,1.67,3.4,5.75
2010-08-28,benfica,setubal,3,0,H,1.22,5.5,15.0
2010-08-28,nacional,guimaraes,1,3,A,2.2,3.1,3.5
2010-08-29,sp braga,maritimo,1,0,H,1.57,3.8,6.0
2010-08-29,beira mar,academica,2,1,H,2.88,3.0,2.63
2010-08-29,olhanense,leiria,1,0,H,2.4,3.1,3.1
2010-08-29,pacos ferreira,portimonense,2,2,D,1.83,3.4,4.5
2010-08-29,rio ave,porto,0,2,A,8.5,4.33,1.4
2010-08-30,naval,sporting,1,3,A,5.0,3.4,1.75
2010-09-10,guimaraes,benfica,2,1,H,5.5,3.5,1.67
2010-09-11,porto,sp braga,3,2,H,1.57,3.8,6.0
2010-09-11,sporting,olhanense,0,0,D,1.3,5.0,11.0
2010-09-12,portimonense,rio ave,3,1,H,2.63,3.0,2.8
2010-09-12,academica,naval,3,0,H,2.0,3.2,4.0
2010-09-12,leiria,nacional,2,1,H,2.8,3.0,2.7
2010-09-12,maritimo,pacos ferreira,1,1,D,2.05,3.25,3.75
2010-09-13,setubal,beira mar,0,0,D,2.2,3.1,3.5
2010-09-17,olhanense,portimonense,2,0,H,2.1,3.1,3.75
2010-09-18,beira mar,maritimo,1,1,D,2.5,3.0,2.75
2010-09-18,guimaraes,leiria,1,0,H,1.65,3.4,5.0
2010-09-19,pacos ferreira,sp braga,2,2,D,4.33,3.25,1.8
2010-09-19,rio ave,academica,2,2,D,2.4,3.0,2.9
2010-09-19,naval,setubal,0,0,D,2.2,3.0,3.25
2010-09-19,benfica,sporting,2,0,H,1.8,3.25,4.33
2010-09-20,nacional,porto,0,2,A,6.0,3.7,1.53
2010-09-24,sp braga,naval,3,1,H,1.44,4.2,7.5
2010-09-25,porto,olhanense,2,0,H,1.17,6.5,17.0
2010-09-25,maritimo,benfica,0,1,A,5.0,3.5,1.73
2010-09-25,academica,guimaraes,3,1,H,2.5,3.0,3.0
2010-09-26,leiria,rio ave,1,0,H,2.1,3.2,3.6
2010-09-26,portimonense,beira mar,1,0,H,2.4,3.0,3.2
2010-09-26,sporting,nacional,1,1,D,1.53,3.8,6.5
2010-09-27,setubal,pacos ferreira,1,0,H,2.5,3.1,2.9
2010-10-01,leiria,academica,2,1,H,2.6,3.0,2.88
2010-10-02,olhanense,setubal,3,1,H,1.95,3.2,4.2
2010-10-03,rio ave,maritimo,0,0,D,2.6,3.0,2.88
2010-10-03,nacional,portimonense,3,1,H,1.75,3.3,5.25
2010-10-03,naval,pacos ferreira,1,2,A,2.6,3.0,2.88
2010-10-03,benfica,sp braga,1,0,H,1.75,3.4,5.0
2010-10-04,beira mar,sporting,1,1,D,4.33,3.25,1.91
2010-10-04,guimaraes,porto,1,1,D,6.0,3.6,1.62
2010-10-22,academica,nacional,2,1,H,2.25,3.1,3.4
2010-10-23,sp braga,olhanense,3,1,H,1.62,3.75,5.5
2010-10-23,setubal,guimaraes,2,1,H,3.1,3.1,2.38
2010-10-23,pacos ferreira,beira mar,1,1,D,2.0,3.2,3.9
2010-10-24,sporting,rio ave,1,0,H,1.4,4.33,8.0
2010-10-24,maritimo,naval,1,0,H,1.85,3.4,4.33
2010-10-24,portimonense,benfica,0,1,A,7.5,4.5,1.4
2010-10-25,porto,leiria,5,1,H,1.2,6.25,13.0
2010-10-29,benfica,pacos ferreira,2,0,H,1.22,5.75,13.0
2010-10-30,rio ave,sp braga,2,0,H,4.5,3.4,1.83
2010-10-30,academica,porto,0,1,A,7.0,3.8,1.5
2010-10-31,beira mar,naval,3,1,H,2.2,3.1,3.4
2010-10-31,leiria,sporting,1,2,A,4.2,3.25,1.91
2010-10-31,nacional,setubal,1,0,H,1.75,3.3,5.0
2010-10-31,olhanense,maritimo,1,1,D,2.4,3.1,3.0
2010-11-01,guimaraes,portimonense,2,0,H,1.65,3.6,5.5
2010-11-05,setubal,rio ave,3,3,D,2.38,3.0,3.25
2010-11-06,portimonense,academica,2,2,D,2.9,3.1,2.5
2010-11-06,pacos ferreira,nacional,0,1,A,2.4,3.1,3.1
2010-11-07,sp braga,beira mar,2,3,A,1.5,4.0,7.0
2010-11-07,naval,olhanense,1,1,D,2.7,3.0,2.8
2010-11-07,maritimo,leiria,1,1,D,1.91,3.25,4.2
2010-11-07,porto,benfica,5,0,H,1.83,3.5,4.33
2010-11-08,sporting,guimaraes,2,3,A,1.53,3.8,6.5
2010-11-12,nacional,maritimo,0,0,D,2.25,3.2,3.25
2010-11-13,guimaraes,sp braga,2,1,H,2.5,3.2,2.8
2010-11-13,academica,sporting,1,2,A,3.4,3.2,2.15
2010-11-14,benfica,naval,4,0,H,1.2,6.0,14.0
2010-11-14,leiria,setubal,1,0,H,1.9,3.25,4.2
2010-11-14,olhanense,beira mar,1,1,D,2.1,3.2,3.6
2010-11-14,porto,portimonense,2,0,H,1.14,7.0,19.0
2010-11-14,rio ave,pacos ferreira,3,1,H,2.2,3.2,3.3
2010-11-26,setubal,academica,0,1,A,2.88,3.2,2.5
2010-11-27,maritimo,guimaraes,2,0,H,2.6,3.1,2.75
2010-11-27,pacos ferreira,olhanense,1,0,H,2.2,3.1,3.4
2010-11-27,sporting,porto,1,1,D,3.8,3.25,2.0
2010-11-28,beira mar,benfica,1,3,A,7.0,3.7,1.53
2010-11-28,naval,rio ave,0,1,A,2.5,3.2,2.88
2010-11-28,sp braga,nacional,2,0,H,1.7,3.4,5.5
2010-11-29,portimonense,leiria,1,2,A,2.9,3.1,2.5
2010-12-03,benfica,olhanense,2,0,H,1.2,6.0,15.0
2010-12-04,leiria,sp braga,3,1,H,3.25,3.1,2.3
2010-12-04,guimaraes,pacos ferreira,1,1,D,1.73,3.5,5.0
2010-12-05,portimonense,sporting,1,3,A,6.5,3.6,1.57
2010-12-05,rio ave,beira mar,1,1,D,2.1,3.1,3.75
2010-12-06,porto,setubal,1,0,H,1.14,7.0,19.0
2010-12-07,nacional,naval,2,1,H,1.62,3.6,6.0
2010-12-08,academica,maritimo,1,5,A,2.0,3.25,3.5
2010-12-17,sp braga,academica,5,0,H,1.65,3.6,5.5
2010-12-18,beira mar,guimaraes,3,2,H,2.7,3.0,2.8
2010-12-18,benfica,rio ave,5,2,H,1.2,6.0,15.0
2010-12-19,maritimo,portimonense,1,1,D,1.6,3.6,6.0
2010-12-19,naval,leiria,0,3,A,2.75,3.0,2.7
2010-12-19,olhanense,nacional,0,0,D,2.63,3.0,2.88
2010-12-19,pacos ferreira,porto,0,3,A,8.0,4.0,1.44
2010-12-20,setubal,sporting,0,3,A,5.25,3.6,1.67
2011-01-07,portimonense,setubal,3,4,A,2.4,3.2,3.0
2011-01-08,sporting,sp braga,2,1,H,1.91,3.25,4.2
2011-01-08,porto,maritimo,4,1,H,1.17,6.75,17.0
2011-01-09,rio ave,olhanense,0,1,A,2.25,3.0,3.5
2011-01-09,nacional,beira mar,0,0,D,1.91,3.25,4.2
2011-01-09,guimaraes,naval,1,2,A,1.5,3.75,7.5
2011-01-09,academica,pacos ferreira,0,0,D,2.3,3.1,3.25
2011-01-09,leiria,benfica,0,3,A,5.25,3.6,1.67
2011-01-14,portimonense,sp braga,0,3,A,5.5,3.5,1.67
2011-01-15,guimaraes,olhanense,1,0,H,1.8,3.4,4.75
2011-01-15,sporting,pacos ferreira,2,3,A,1.36,4.5,9.0
2011-01-16,academica,benfica,0,1,A,6.0,3.8,1.57
2011-01-16,leiria,beira mar,0,3,A,2.05,3.25,3.75
2011-01-16,nacional,rio ave,1,0,H,1.83,3.4,4.5
2011-01-16,porto,naval,3,1,H,1.11,8.0,23.0
2011-01-16,setubal,maritimo,2,4,A,2.75,3.0,2.75
2011-01-22,sp braga,setubal,2,2,D,1.4,4.4,8.0
2011-01-22,rio ave,guimaraes,2,3,A,2.9,3.0,2.55
2011-01-22,olhanense,academica,2,1,H,2.3,3.1,3.2
2011-01-22,pacos ferreira,leiria,1,1,D,2.05,3.2,3.75
2011-01-22,benfica,nacional,4,2,H,1.25,5.25,13.0
2011-01-22,beira mar,porto,0,1,A,7.0,4.2,1.4
2011-01-22,naval,portimonense,1,1,D,2.05,3.2,3.8
2011-01-24,maritimo,sporting,0,3,A,4.33,3.1,1.83
2011-01-26,porto,nacional,3,0,H,1.2,5.5,13.0
2011-02-04,sporting,naval,3,3,D,1.29,5.25,10.0
2011-02-05,maritimo,sp braga,1,2,A,2.8,3.2,2.5
2011-02-06,academica,beira mar,3,3,D,2.2,3.2,3.3
2011-02-06,guimaraes,nacional,0,0,D,1.91,3.3,4.2
2011-02-06,leiria,olhanense,0,2,A,2.3,3.2,3.2
2011-02-06,portimonense,pacos ferreira,0,1,A,2.9,3.2,2.45
2011-02-06,porto,rio ave,1,0,H,1.14,7.5,17.0
2011-02-06,setubal,benfica,0,2,A,9.0,4.75,1.33
2011-02-12,olhanense,sporting,2,2,D,4.2,3.3,1.91
2011-02-12,nacional,leiria,0,1,A,1.91,3.25,4.2
2011-02-13,pacos ferreira,maritimo,1,0,H,2.1,3.2,3.6
2011-02-13,rio ave,portimonense,2,0,H,2.0,3.2,4.0
2011-02-13,naval,academica,3,1,H,2.63,3.1,2.8
2011-02-13,sp braga,porto,0,2,A,4.0,3.4,1.91
2011-02-13,benfica,guimaraes,3,0,H,1.29,5.0,11.0
2011-02-14,beira mar,setubal,0,0,D,1.91,3.3,4.2
2011-02-18,leiria,guimaraes,0,1,A,2.8,3.1,2.55
2011-02-19,portimonense,olhanense,1,1,D,2.8,3.1,2.6
2011-02-20,sp braga,pacos ferreira,1,2,A,1.7,3.5,5.0
2011-02-20,academica,rio ave,0,1,A,2.1,3.2,3.6
2011-02-20,maritimo,beira mar,1,0,H,2.0,3.25,3.8
2011-02-20,setubal,naval,1,1,D,2.25,3.25,3.25
2011-02-21,sporting,benfica,0,2,A,3.3,3.1,2.25
2011-02-25,guimaraes,academica,0,2,A,1.65,3.6,5.5
2011-02-26,olhanense,porto,0,3,A,7.0,4.33,1.44
2011-02-26,pacos ferreira,setubal,2,0,H,1.75,3.4,5.0
2011-02-27,beira mar,portimonense,0,1,A,1.8,3.4,4.75
2011-02-27,benfica,maritimo,2,1,H,1.25,5.5,12.0
2011-02-27,nacional,sporting,1,0,H,3.5,3.25,2.1
2011-02-27,rio ave,leiria,1,0,H,2.1,3.2,3.6
2011-02-28,naval,sp braga,0,0,D,3.5,3.25,2.1
2011-03-04,academica,leiria,0,0,D,2.25,3.1,3.4
2011-03-05,porto,guimaraes,2,0,H,1.25,5.5,12.0
2011-03-06,setubal,olhanense,0,0,D,2.5,3.1,2.9
2011-03-06,sp braga,benfica,2,1,H,4.33,3.4,1.85
2011-03-06,sporting,beira mar,1,0,H,1.44,4.2,7.5
2011-03-06,maritimo,rio ave,0,1,A,1.95,3.2,4.2
2011-03-07,pacos ferreira,naval,0,0,D,1.75,3.4,5.0
2011-03-07,portimonense,nacional,1,1,D,3.25,3.1,2.3
2011-03-11,beira mar,pacos ferreira,3,1,H,2.7,3.0,2.8
2011-03-12,guimaraes,setubal,1,1,D,1.62,3.6,6.0
2011-03-12,rio ave,sporting,0,0,D,4.0,3.2,2.0
2011-03-13,benfica,portimonense,1,1,D,1.14,7.5,17.0
2011-03-13,naval,maritimo,0,3,A,2.5,3.0,3.0
2011-03-13,nacional,academica,1,1,D,1.85,3.4,4.33
2011-03-14,leiria,porto,0,2,A,9.0,4.5,1.36
2011-03-18,portimonense,guimaraes,2,1,H,3.3,3.1,2.25
2011-03-19,sporting,leiria,0,0,D,1.55,3.6,7.0
2011-03-20,porto,academica,3,1,H,1.14,7.5,16.0
2011-03-20,setubal,nacional,2,1,H,2.75,3.1,2.6
2011-03-20,naval,beira mar,2,2,D,2.25,3.1,3.3
2011-03-20,maritimo,olhanense,4,0,H,2.0,3.25,3.8
2011-03-21,pacos ferreira,benfica,1,5,A,6.0,3.5,1.62
2011-03-21,sp braga,rio ave,1,0,H,1.6,3.5,6.25
2011-03-27,olhanense,sp braga,0,2,A,3.25,3.2,2.1
2011-04-01,leiria,maritimo,1,3,A,2.7,3.0,2.75
2011-04-02,academica,portimonense,1,0,H,2.0,3.2,4.0
2011-04-02,beira mar,sp braga,1,2,A,3.6,3.2,2.1
2011-04-03,rio ave,setubal,2,0,H,1.95,3.25,4.0
2011-04-03,benfica,porto,1,2,A,2.4,3.25,2.9
2011-04-03,guimaraes,sporting,1,1,D,3.1,3.2,2.3
2011-04-03,olhanense,naval,1,3,A,2.1,3.25,3.5
2011-04-04,nacional,pacos ferreira,1,0,H,2.25,3.1,3.4
2011-04-08,maritimo,nacional,1,1,D,2.0,3.3,3.8
2011-04-09,sporting,academica,2,0,H,1.5,4.0,7.0
2011-04-10,beira mar,olhanense,1,0,H,2.2,3.1,3.5
2011-04-10,naval,benfica,2,1,H,4.5,3.5,1.8
2011-04-10,pacos ferreira,rio ave,1,6,A,2.4,3.1,3.1
2011-04-10,portimonense,porto,2,3,A,6.0,4.33,1.5
2011-04-10,setubal,leiria,4,1,H,2.3,3.0,3.4
2011-04-11,sp braga,guimaraes,3,1,H,1.75,3.4,5.0
2011-04-15,academica,setubal,1,1,D,2.1,3.0,3.8
2011-04-16,olhanense,pacos ferreira,0,0,D,2.4,3.1,3.1
2011-04-16,guimaraes,maritimo,2,0,H,2.3,3.1,3.25
2011-04-17,benfica,beira mar,2,1,H,1.36,4.5,9.0
2011-04-17,rio ave,naval,1,0,H,2.0,3.2,4.0
