date,ht,at,hg,ag,result,h_odds,d_odds,a_odds,ht_form_points,ht_form_goals_scored,ht_form_goals_conceded,ht_form_wins,at_form_points,at_form_goals_scored,at_form_goals_conceded,at_form_wins,ht_home_form_points,ht_home_form_goals_scored,at_away_form_points,at_away_form_goals_scored,h2h_home_wins,h2h_draws,h2h_away_wins,h2h_total_matches,ht_form,at_form,ht_attack,at_attack,joint_attack,h2h_dominance,odds_favorite
2020-11-29,boavista,belenenses,0,0,D,2.1,3.1,3.75,5.0,7.0,7.0,1.0,4.0,1.0,3.0,0.0,3.0,3.0,5.0,2.0,9.0,7.0,6.0,22,below avg,below avg,average,weak,average x weak,balanced,home
2020-11-29,gil vicente,rio ave,2,0,H,2.9,3.4,2.3,1.0,4.0,9.0,0.0,8.0,4.0,4.0,2.0,8.0,9.0,9.0,5.0,5.0,4.0,7.0,16,poor,average,average,average,average x average,balanced,away
2020-11-29,portimonense,nacional,1,0,H,2.1,3.5,3.3,3.0,4.0,9.0,1.0,6.0,4.0,4.0,1.0,7.0,6.0,5.0,4.0,2.0,1.0,1.0,4,poor,below avg,average,average,average x average,balanced,home
2020-11-30,maritimo,benfica,1,2,A,9.0,5.5,1.3,4.0,6.0,8.0,1.0,9.0,10.0,8.0,3.0,6.0,6.0,10.0,13.0,3.0,6.0,25.0,34,below avg,average,average,above avg,average x above avg,away_dominant,away
2020-12-01,moreirense,pacos ferreira,0,1,A,3.6,3.25,2.1,5.0,4.0,6.0,1.0,10.0,8.0,5.0,3.0,8.0,7.0,4.0,6.0,5.0,5.0,4.0,14,below avg,good,average,above avg,average x above avg,balanced,away
2020-12-05,guimaraes,portimonense,1,0,H,1.9,3.5,4.0,9.0,5.0,6.0,3.0,6.0,5.0,7.0,2.0,6.0,2.0,3.0,4.0,4.0,1.0,3.0,8,average,below avg,average,average,average x average,balanced,home
2020-12-05,moreirense,gil vicente,1,1,D,3.1,3.2,2.45,4.0,3.0,6.0,1.0,3.0,5.0,8.0,1.0,7.0,6.0,1.0,2.0,5.0,2.0,3.0,10,below avg,poor,weak,average,weak x average,balanced,away
2020-12-05,famalicao,sporting,2,2,D,5.75,4.2,1.53,5.0,7.0,9.0,1.0,15.0,15.0,3.0,5.0,6.0,8.0,12.0,11.0,2.0,0.0,0.0,2,below avg,excellent,average,strong,average x strong,balanced,away
2020-12-05,porto,tondela,4,3,H,1.18,7.0,15.0,10.0,9.0,6.0,3.0,7.0,4.0,7.0,2.0,12.0,15.0,4.0,6.0,8.0,1.0,1.0,10,good,average,above avg,average,above avg x average,home_dominant,home
2020-12-06,benfica,pacos ferreira,2,1,H,1.25,5.5,12.0,9.0,9.0,7.0,3.0,13.0,9.0,4.0,4.0,12.0,11.0,6.0,6.0,26.0,2.0,2.0,30,average,excellent,above avg,above avg,above avg x above avg,home_dominant,home
2020-12-06,rio ave,boavista,0,0,D,1.9,3.3,4.2,7.0,3.0,5.0,2.0,5.0,6.0,6.0,1.0,8.0,6.0,4.0,9.0,10.0,4.0,4.0,18,average,below avg,weak,average,weak x average,home_dominant,home
2020-12-06,nacional,santa clara,1,3,A,2.75,3.1,2.62,5.0,4.0,5.0,1.0,3.0,4.0,8.0,1.0,6.0,6.0,7.0,6.0,0.0,0.0,2.0,2,below avg,poor,average,average,average x average,balanced,balanced
2020-12-06,belenenses,sp braga,2,1,H,6.0,3.8,1.57,4.0,1.0,3.0,0.0,15.0,8.0,3.0,5.0,6.0,3.0,9.0,9.0,5.0,2.0,19.0,26,below avg,excellent,weak,above avg,weak x above avg,away_dominant,away
2020-12-07,farense,maritimo,2,1,H,2.4,3.3,2.87,5.0,7.0,7.0,1.0,1.0,4.0,8.0,0.0,4.0,6.0,3.0,5.0,0.0,0.0,0.0,0,below avg,poor,average,average,average x average,balanced,balanced
2020-12-18,portimonense,famalicao,0,0,D,2.4,3.2,3.0,3.0,3.0,7.0,1.0,5.0,6.0,8.0,1.0,7.0,5.0,5.0,8.0,2.0,0.0,0.0,2,poor,below avg,weak,average,weak x average,balanced,home
2020-12-19,maritimo,belenenses,1,0,H,2.37,3.1,3.2,1.0,4.0,8.0,0.0,6.0,3.0,4.0,1.0,5.0,7.0,5.0,1.0,9.0,8.0,11.0,28,poor,below avg,average,weak,average x weak,balanced,home
2020-12-19,tondela,moreirense,0,0,D,2.37,3.2,3.0,6.0,6.0,10.0,2.0,4.0,4.0,7.0,1.0,7.0,4.0,1.0,2.0,4.0,3.0,3.0,10,below avg,below avg,average,average,average x average,balanced,home
2020-12-19,sporting,farense,1,0,H,1.3,5.5,8.5,13.0,15.0,4.0,4.0,7.0,6.0,5.0,2.0,11.0,11.0,1.0,3.0,0.0,0.0,0.0,0,excellent,average,strong,average,strong x average,balanced,home
2020-12-20,porto,nacional,2,0,H,1.25,6.0,10.0,12.0,11.0,7.0,4.0,5.0,4.0,6.0,1.0,12.0,13.0,4.0,2.0,22.0,4.0,4.0,30,good,below avg,strong,average,strong x average,home_dominant,home
2020-12-20,gil vicente,benfica,0,2,A,7.0,4.75,1.4,4.0,6.0,8.0,1.0,9.0,8.0,8.0,3.0,8.0,8.0,12.0,14.0,1.0,3.0,12.0,16,below avg,average,average,above avg,average x above avg,away_dominant,away
2020-12-20,pacos ferreira,boavista,1,1,D,2.25,3.4,3.1,10.0,8.0,5.0,3.0,6.0,6.0,5.0,1.0,12.0,9.0,4.0,7.0,5.0,4.0,8.0,17,good,below avg,above avg,average,above avg x average,balanced,home
2020-12-21,santa clara,guimaraes,0,4,A,2.8,3.2,2.5,6.0,6.0,7.0,2.0,9.0,5.0,6.0,3.0,5.0,5.0,11.0,7.0,1.0,1.0,2.0,4,below avg,average,average,average,average x average,balanced,balanced
2020-12-22,sp braga,rio ave,3,0,H,1.5,4.0,6.0,12.0,7.0,4.0,4.0,8.0,3.0,2.0,2.0,12.0,6.0,6.0,3.0,14.0,10.0,6.0,30,good,average,average,weak,average x weak,home_dominant,home
2020-12-27,famalicao,gil vicente,0,1,A,2.45,3.0,3.1,5.0,4.0,6.0,1.0,4.0,5.0,7.0,1.0,6.0,8.0,2.0,3.0,2.0,0.0,0.0,2,below avg,below avg,average,average,average x average,balanced,home
2020-12-27,nacional,tondela,2,0,H,2.0,3.4,3.6,4.0,3.0,7.0,1.0,4.0,5.0,10.0,1.0,6.0,7.0,4.0,7.0,3.0,1.0,2.0,6,below avg,below avg,weak,average,weak x average,balanced,home
2020-12-27,farense,pacos ferreira,1,1,D,2.75,3.25,2.55,7.0,6.0,5.0,2.0,10.0,8.0,5.0,3.0,7.0,8.0,5.0,4.0,0.0,0.0,0.0,0,average,good,average,above avg,average x above avg,balanced,balanced
2020-12-27,belenenses,sporting,1,2,A,7.0,4.33,1.45,6.0,3.0,3.0,1.0,13.0,13.0,3.0,4.0,6.0,4.0,13.0,12.0,2.0,4.0,21.0,27,below avg,excellent,weak,strong,weak x strong,away_dominant,away
2020-12-28,rio ave,maritimo,1,3,A,1.85,3.4,4.33,5.0,2.0,5.0,1.0,4.0,4.0,6.0,1.0,6.0,4.0,3.0,6.0,7.0,13.0,9.0,29,below avg,below avg,weak,average,weak x average,balanced,home
2020-12-28,boavista,sp braga,1,4,A,5.0,3.6,1.7,6.0,5.0,4.0,1.0,12.0,9.0,4.0,4.0,4.0,3.0,9.0,10.0,4.0,8.0,9.0,21,below avg,good,average,above avg,average x above avg,away_dominant,away
